city,reachable,station_to,lat,long
Salzburg,False,,47.7981346,13.0464806
Graz,False,,47.0708678,15.4382786
Bregenz,True,Bregenz,47.503007,9.739635
Feldkirch,True,Feldkirch,47.24098,9.604105
Dornbirn,True,"Dornbirn, Bahnhof",47.417043,9.738624
Vienne,True,Vienne,45.521088,4.874366
Frankfurt am Main,False,,50.1106444,8.6820917
Köln,False,,50.938361,6.959974
Wallhausen,True,"Wallhausen (KN), Hafen",47.746823,9.135167
Ulm,True,Ulm Hbf,48.399452,9.982193
Stuttgart Hbf,True,Stuttgart Hbf,48.784087,9.181561
Freiburg im Breisgau,True,Freiburg im Breisgau,,
Bodman-Ludwigshafen,True,Bodman-Ludwigshafen,,
Hamburg,False,,53.550341,10.000654
Konstanz,True,Konstanz,47.658756,9.177301
Ravensburg,True,Ravensburg,47.784488,9.606097
Karlsruhe,True,Karlsruhe Hbf,48.993498,8.402133
Arnhem,True,"BASF Agro B.V., Pfäffikon, Churerstr. 78",,
Amsterdam,False,,52.3727598,4.8936041
Venlo,False,,51.39244885,6.1511724144122955
Den Haag,False,,52.0799838,4.3113461
Paris,True,Paris Gare de Lyon,48.844997,2.373915
Lyon,True,Lyon Part Dieu,45.76062,4.859965
Marseille,True,Marseille-Saint-Charles,43.304062,5.381438
Mühlhausen,True,Mühlhausen (b Engen),47.813659,8.804391
Besançon,True,Besançon Viotte,47.247349,6.022024
Grenoble,True,Grenoble,45.191238,5.714087
Nice,True,Nice-Ville,43.704943,7.261687
Charleroi,False,,50.4120332,4.4436244
London,False,,51.5073219,-0.1276474
Manchester,False,,53.4794892,-2.2451148
Liverpool,False,,53.4071991,-2.99168
Birmingham,False,,52.4796992,-1.9026911
Leeds,False,,53.7974185,-1.5437941
Prag,True,"Pragg, Bahnhof Furna",46.93951,9.708949
Dublin,False,,53.3497645,-6.2602732
Belfast,False,,54.596391,-5.9301829
Glasgow,False,,55.8609825,-4.2488787
Cadaqués,False,,42.2893484,3.2752159
Málaga,False,,36.7213028,-4.4216366
Murcia,False,,37.9923795,-1.1305431
Valencia,False,,39.4697065,-0.3763353
Madrid,False,,40.4167047,-3.7035825
Saragosa,False,,41.6521342,-0.8809428
Barcelona,False,,41.3828939,2.1774322
Bilbao,False,,43.2630018,-2.9350039
Valladolid,False,,41.6521328,-4.728562
Milano,True,Milano Centrale,45.486396,9.204719
Bologna,False,,44.4938203,11.3426327
Aosta,True,Aosta,45.734208,7.322413
Domodossola,True,Domodossola (I),46.115288,8.296238
como,True,Como S. Giovanni,45.808969,9.072713
Varese,True,Varese,45.819768,8.834588
